product_id	location_id	measure	countOfDetailedCells	
694	1022	5000.0000	1	
5096	9881	5008.0000	1	
6822	9202	5029.0000	1	
7657	1519	5031.0000	1	
4622	2708	5032.0000	1	
2819	1783	5036.0000	1	
9484	2471	5056.0000	1	
1906	1680	5068.0000	1	
5318	5838	5068.0000	1	
4339	2605	5081.0000	1	
8878	7587	5087.0000	1	
6658	3523	5105.0000	1	
6515	3482	5137.0000	1	
273	9168	5143.0000	1	
7426	4416	5144.0000	1	
45	599	5156.0000	1	
4978	2728	5163.0000	1	
443	339	5173.0000	1	
4977	6827	5192.0000	1	
4305	88	5204.0000	1	
790	8888	5206.0000	1	
7397	3968	5227.0000	1	
9767	6351	5229.0000	1	
4476	2141	5236.0000	1	
8432	3720	5256.0000	1	
8711	4775	5262.0000	1	
2991	9403	5277.0000	1	
6716	4903	5284.0000	1	
1302	4886	5285.0000	1	
761	9732	5300.0000	1	
1054	1552	5310.0000	1	
3968	7386	5321.0000	1	
8459	1176	5322.0000	1	
8932	6641	5333.0000	1	
5832	7333	5338.0000	1	
9339	8262	5341.0000	1	
5450	4925	5391.0000	1	
5590	9407	5395.0000	1	
8827	8149	5398.0000	1	
8975	1412	5426.0000	1	
5632	2964	5452.0000	1	
2058	2737	5467.0000	1	
3391	4698	5497.0000	1	
5124	5535	5527.0000	1	
6250	1092	5537.0000	1	
5508	4202	5538.0000	1	
5338	6205	5548.0000	1	
8144	8379	5564.0000	1	
2419	4875	5572.0000	1	
8732	7640	5636.0000	1	
4030	5876	5638.0000	1	
9266	1498	5666.0000	1	
6608	4277	5669.0000	1	
588	397	5673.0000	1	
3254	7720	5714.0000	1	
8376	4469	5731.0000	1	
2204	9050	5741.0000	1	
706	2585	5741.0000	1	
8253	4071	5756.0000	1	
520	8886	5760.0000	1	
5281	6781	5768.0000	1	
5777	7361	5787.0000	1	
8066	8343	5818.0000	1	
373	9728	5832.0000	1	
3894	6306	5843.0000	1	
6040	8643	5859.0000	1	
3504	1789	5876.0000	1	
7558	4293	5900.0000	1	
1280	4794	5907.0000	1	
6693	4254	5942.0000	1	
3992	3569	5949.0000	1	
9763	3074	5954.0000	1	
5382	2845	5962.0000	1	
8018	4929	5966.0000	1	
4423	4134	5981.0000	1	
1766	9255	5984.0000	1	
7440	3820	6007.0000	1	
9517	9243	6025.0000	1	
8680	7946	6032.0000	1	
4165	3615	6045.0000	1	
5520	9640	6058.0000	1	
6626	6973	6061.0000	1	
5835	1524	6110.0000	1	
5128	7150	6120.0000	1	
3571	1382	6120.0000	1	
6567	9531	6138.0000	1	
9786	1891	6148.0000	1	
8948	896	6155.0000	1	
945	3112	6168.0000	1	
7201	448	6173.0000	1	
3509	5268	6173.0000	1	
192	5354	6174.0000	1	
5599	5883	6199.0000	1	
1916	5886	6202.0000	1	
4088	20	6232.0000	1	
4450	3116	6268.0000	1	
6890	3324	6290.0000	1	
8538	5220	6299.0000	1	
5300	9127	6308.0000	1	
6065	3553	6374.0000	1	
3731	1190	6384.0000	1	
4911	2647	6400.0000	1	
7991	2909	6410.0000	1	
3062	4204	6417.0000	1	
3607	9241	6432.0000	1	
1672	4202	6433.0000	1	
1427	8921	6438.0000	1	
5144	6778	6447.0000	1	
6749	4523	6474.0000	1	
1402	8055	6475.0000	1	
5086	3634	6479.0000	1	
6378	3796	6488.0000	1	
8418	1501	6504.0000	1	
3179	7368	6505.0000	1	
7369	4989	6554.0000	1	
3104	8483	6554.0000	1	
2614	3714	6555.0000	1	
8360	7748	6559.0000	1	
7422	3083	6562.0000	1	
3853	4911	6563.0000	1	
4921	9785	6564.0000	1	
8273	3798	6600.0000	1	
5134	7692	6610.0000	1	
2344	9476	6616.0000	1	
9576	2546	6626.0000	1	
280	6628	6628.0000	1	
1587	6144	6645.0000	1	
4896	6226	6648.0000	1	
6821	757	6671.0000	1	
3987	2371	6672.0000	1	
2085	9625	6673.0000	1	
4207	6210	6676.0000	1	
8641	7811	6685.0000	1	
5924	840	6698.0000	1	
7672	6093	6702.0000	1	
8880	7866	6706.0000	1	
1719	4548	6713.0000	1	
1168	3620	6718.0000	1	
5829	4484	6738.0000	1	
4252	1384	6755.0000	1	
195	778	6756.0000	1	
6509	4443	6758.0000	1	
4566	8973	6767.0000	1	
1419	695	6772.0000	1	
2915	4846	6790.0000	1	
5629	6519	6803.0000	1	
9095	3398	6807.0000	1	
8473	1268	6807.0000	1	
3903	1447	6813.0000	1	
9509	7672	6813.0000	1	
5407	1023	6815.0000	1	
6280	9344	6841.0000	1	
4991	6061	6852.0000	1	
521	8098	6885.0000	1	
3893	3470	6926.0000	1	
8400	69	6926.0000	1	
9831	9811	6947.0000	1	
2599	1131	6986.0000	1	
2284	1898	6993.0000	1	
9585	9559	7009.0000	1	
6480	8610	7017.0000	1	
4307	7568	7020.0000	1	
1839	3168	7027.0000	1	
3588	5929	7043.0000	1	
5658	1599	7053.0000	1	
2067	979	7056.0000	1	
6602	485	7062.0000	1	
7424	4837	7089.0000	1	
7271	4458	7097.0000	1	
5721	1072	7102.0000	1	
8234	1871	7104.0000	1	
5400	6052	7105.0000	1	
130	2131	7108.0000	1	
3353	5627	7108.0000	1	
2532	2937	7169.0000	1	
3112	7956	7178.0000	1	
8960	5612	7227.0000	1	
1298	5878	7228.0000	1	
3851	1314	7240.0000	1	
9295	2013	7247.0000	1	
8281	7430	7253.0000	1	
5481	4496	7259.0000	1	
3122	4860	7281.0000	1	
1914	2092	7288.0000	1	
4331	7209	7295.0000	1	
3868	4752	7297.0000	1	
8516	8293	7300.0000	1	
4098	5175	7307.0000	1	
4981	364	7320.0000	1	
9950	1901	7324.0000	1	
2029	1979	7360.0000	1	
3036	1203	7383.0000	1	
9953	5944	7387.0000	1	
689	6582	7434.0000	1	
1787	4324	7487.0000	1	
5811	6430	7488.0000	1	
544	7293	7510.0000	1	
2871	211	7525.0000	1	
3310	9367	7525.0000	1	
92	9060	7530.0000	1	
1926	6033	7536.0000	1	
3112	7907	7565.0000	1	
4712	4941	7577.0000	1	
6288	3713	7578.0000	1	
3262	435	7601.0000	1	
5733	2607	7601.0000	1	
6407	1117	7628.0000	1	
115	400	7633.0000	1	
1484	3511	7645.0000	1	
7654	8204	7664.0000	1	
507	9471	7688.0000	1	
3054	6189	7694.0000	1	
6214	5721	7703.0000	1	
9904	2800	7705.0000	1	
7085	2494	7707.0000	1	
899	9757	7708.0000	1	
2398	9067	7714.0000	1	
115	6542	7733.0000	1	
1837	491	7741.0000	1	
5555	6095	7754.0000	1	
4125	8782	7757.0000	1	
6152	5693	7763.0000	1	
3749	3659	7766.0000	1	
7589	2935	7768.0000	1	
902	4236	7792.0000	1	
5602	4675	7795.0000	1	
1465	4809	7795.0000	1	
3868	3707	7841.0000	1	
5442	3981	7854.0000	1	
6898	9785	7860.0000	1	
2985	7431	7868.0000	1	
4791	6137	7872.0000	1	
7594	6944	7888.0000	1	
8507	2408	7905.0000	1	
5703	166	7911.0000	1	
3893	3242	7919.0000	1	
7198	8887	7939.0000	1	
4843	7176	7944.0000	1	
4182	3210	7953.0000	1	
7488	234	7973.0000	1	
4932	1775	7976.0000	1	
4597	6055	7985.0000	1	
2948	9957	7998.0000	1	
7818	2164	8007.0000	1	
1402	1668	8008.0000	1	
8862	7589	8008.0000	1	
1260	1009	8009.0000	1	
9213	701	8012.0000	1	
4851	8683	8050.0000	1	
8073	5001	8052.0000	1	
1313	2369	8076.0000	1	
732	995	8081.0000	1	
1149	7733	8100.0000	1	
5254	5867	8107.0000	1	
3883	767	8107.0000	1	
8338	4989	8127.0000	1	
1314	9904	8134.0000	1	
1316	7626	8150.0000	1	
2789	7332	8153.0000	1	
2383	7727	8178.0000	1	
4471	8997	8179.0000	1	
8424	1474	8183.0000	1	
6823	5206	8185.0000	1	
7229	7037	8200.0000	1	
940	752	8223.0000	1	
2997	4710	8232.0000	1	
9387	9923	8237.0000	1	
3765	3888	8251.0000	1	
9667	3192	8256.0000	1	
4324	4068	8263.0000	1	
5626	6770	8263.0000	1	
968	5172	8271.0000	1	
4651	5628	8310.0000	1	
342	7800	8311.0000	1	
2438	8960	8314.0000	1	
3641	5080	8325.0000	1	
5025	6203	8327.0000	1	
678	7762	8388.0000	1	
4848	2853	8390.0000	1	
1258	4146	8411.0000	1	
5241	3596	8419.0000	1	
2388	6953	8420.0000	1	
3072	4932	8423.0000	1	
4451	382	8424.0000	1	
2293	7849	8425.0000	1	
2535	7074	8436.0000	1	
6628	2089	8438.0000	1	
2873	5360	8459.0000	1	
8719	4629	8461.0000	1	
4503	2162	8473.0000	1	
6910	547	8492.0000	1	
4911	8988	8512.0000	1	
8683	3523	8520.0000	1	
1405	7805	8524.0000	1	
7695	6250	8535.0000	1	
8978	7146	8535.0000	1	
9873	9365	8548.0000	1	
1205	8178	8559.0000	1	
5756	1346	8571.0000	1	
2470	987	8580.0000	1	
9917	3632	8602.0000	1	
4286	3233	8632.0000	1	
6198	1806	8648.0000	1	
5845	5533	8652.0000	1	
5428	8345	8654.0000	1	
4564	7376	8664.0000	1	
4404	9956	8673.0000	1	
8299	6552	8683.0000	1	
9648	4391	8707.0000	1	
1716	7920	8716.0000	1	
9455	8799	8717.0000	1	
4340	3001	8718.0000	1	
5932	5770	8721.0000	1	
6427	8480	8733.0000	1	
6222	795	8735.0000	1	
8683	9645	8756.0000	1	
672	9450	8763.0000	1	
9404	5259	8765.0000	1	
1121	6380	8784.0000	1	
571	2247	8800.0000	1	
9996	5152	8817.0000	1	
9765	6746	8824.0000	1	
6487	9491	8831.0000	1	
2332	2530	8837.0000	1	
1756	6617	8837.0000	1	
9437	4811	8858.0000	1	
1775	5198	8861.0000	1	
2170	6443	8867.0000	1	
6175	3524	8891.0000	1	
8466	3171	8895.0000	1	
6807	801	8903.0000	1	
7686	9481	8915.0000	1	
26	7590	8941.0000	1	
4804	1062	8965.0000	1	
1268	6149	8974.0000	1	
8709	3187	8991.0000	1	
6900	3856	8993.0000	1	
9134	1322	8993.0000	1	
4270	1688	9001.0000	1	
5949	6051	9018.0000	1	
96	1473	9028.0000	1	
5951	5077	9028.0000	1	
4882	4439	9038.0000	1	
2139	8437	9044.0000	1	
8404	6517	9049.0000	1	
7788	3117	9052.0000	1	
216	4678	9062.0000	1	
5088	5373	9114.0000	1	
4753	7768	9122.0000	1	
975	2853	9123.0000	1	
1414	7581	9129.0000	1	
1884	4746	9129.0000	1	
4439	4070	9130.0000	1	
8815	7066	9133.0000	1	
5356	8612	9135.0000	1	
6304	9280	9177.0000	1	
1318	3586	9191.0000	1	
7027	3200	9192.0000	1	
1258	2423	9221.0000	1	
3288	124	9228.0000	1	
1506	6202	9246.0000	1	
5760	2965	9247.0000	1	
4777	985	9249.0000	1	
1021	7981	9280.0000	1	
6807	9831	9290.0000	1	
4283	6094	9294.0000	1	
8309	4492	9295.0000	1	
2927	6759	9304.0000	1	
4172	2168	9308.0000	1	
2449	9705	9308.0000	1	
8552	8200	9315.0000	1	
1198	3240	9319.0000	1	
4856	1548	9320.0000	1	
5048	4949	9338.0000	1	
6737	3688	9376.0000	1	
1664	9318	9392.0000	1	
5558	7257	9394.0000	1	
8735	3754	9447.0000	1	
2564	1702	9459.0000	1	
1312	2696	9463.0000	1	
5998	9779	9464.0000	1	
9245	244	9479.0000	1	
6305	9093	9483.0000	1	
4380	5706	9493.0000	1	
4552	8585	9499.0000	1	
6113	7509	9502.0000	1	
669	2000	9507.0000	1	
9088	2860	9518.0000	1	
8367	377	9538.0000	1	
3556	673	9542.0000	1	
8601	3627	9543.0000	1	
9267	5686	9556.0000	1	
8344	8477	9574.0000	1	
4417	5566	9585.0000	1	
6002	2556	9590.0000	1	
349	9584	9610.0000	1	
3648	4693	9721.0000	1	
5289	5196	9731.0000	1	
4210	1271	9744.0000	1	
6626	8339	9753.0000	1	
4574	2028	9756.0000	1	
1250	389	9759.0000	1	
5035	6596	9760.0000	1	
6394	309	9769.0000	1	
8060	1367	9771.0000	1	
5897	1779	9784.0000	1	
5284	8625	9788.0000	1	
8500	9435	9793.0000	1	
2001	7981	9812.0000	1	
1847	4203	9845.0000	1	
1390	3251	9848.0000	1	
5175	3410	9853.0000	1	
178	1151	9864.0000	1	
2677	882	9888.0000	1	
4823	8871	9898.0000	1	
2258	9460	9909.0000	1	
7660	3655	9936.0000	1	
2850	3934	9946.0000	1	
753	3906	9955.0000	1	
1460	7381	9982.0000	1	
7112	513	9989.0000	1	
864	8590	9991.0000	1	
9021	327	9998.0000	1	
