date_id,date,day,month,year
64,8/4/2010,8,4,2010
65,27/10/2013,27,10,2013
66,10/5/2012,10,5,2012
67,7/1/2017,7,1,2017
68,1/7/2010,1,7,2010
69,12/9/2012,12,9,2012
70,27/6/2012,27,6,2012
71,9/10/2019,9,10,2019
72,21/8/2011,21,8,2011
73,14/4/2014,14,4,2014
74,11/6/2014,11,6,2014
75,3/10/2018,3,10,2018
76,7/6/2010,7,6,2010
77,3/11/2018,3,11,2018
78,9/5/2019,9,5,2019
79,24/9/2019,24,9,2019
80,4/10/2010,4,10,2010
81,18/10/2010,18,10,2010
82,1/3/2016,1,3,2016
83,5/9/2016,5,9,2016
84,23/11/2012,23,11,2012
85,20/4/2015,20,4,2015
86,10/5/2015,10,5,2015
87,10/7/2018,10,7,2018
88,16/10/2014,16,10,2014
89,27/4/2016,27,4,2016
90,16/8/2014,16,8,2014
91,27/3/2016,27,3,2016
92,21/7/2019,21,7,2019
93,16/9/2019,16,9,2019
94,4/5/2014,4,5,2014
95,26/2/2016,26,2,2016
96,11/3/2011,11,3,2011
97,15/6/2012,15,6,2012
98,7/5/2017,7,5,2017
99,12/4/2019,12,4,2019
100,13/1/2010,13,1,2010
101,5/6/2014,5,6,2014
102,25/8/2018,25,8,2018
103,15/3/2019,15,3,2019
104,21/8/2010,21,8,2010
105,16/7/2019,16,7,2019
106,7/2/2017,7,2,2017
107,9/7/2019,9,7,2019
108,11/8/2012,11,8,2012
109,25/12/2017,25,12,2017
110,15/3/2018,15,3,2018
111,3/7/2018,3,7,2018
112,3/10/2019,3,10,2019
113,20/10/2019,20,10,2019
114,14/11/2017,14,11,2017
115,20/12/2018,20,12,2018
116,19/1/2012,19,1,2012
117,14/7/2016,14,7,2016
118,20/5/2019,20,5,2019
119,13/7/2019,13,7,2019
120,1/5/2011,1,5,2011
121,23/2/2017,23,2,2017
122,1/1/2013,1,1,2013
123,16/3/2017,16,3,2017
124,20/5/2013,20,5,2013
125,19/8/2018,19,8,2018
126,19/10/2010,19,10,2010
127,25/6/2017,25,6,2017
128,20/11/2015,20,11,2015
129,1/9/2017,1,9,2017
130,6/2/2011,6,2,2011
131,17/8/2013,17,8,2013
132,2/6/2019,2,6,2019
133,9/10/2019,9,10,2019
134,15/5/2012,15,5,2012
135,13/4/2014,13,4,2014
136,8/4/2014,8,4,2014
137,14/4/2015,14,4,2015
138,1/6/2010,1,6,2010
139,15/7/2010,15,7,2010
140,1/10/2014,1,10,2014
141,3/8/2015,3,8,2015
142,8/10/2019,8,10,2019
143,20/12/2019,20,12,2019
144,5/4/2016,5,4,2016
145,10/6/2018,10,6,2018
146,25/5/2016,25,5,2016
147,6/7/2019,6,7,2019
148,9/8/2018,9,8,2018
149,25/1/2019,25,1,2019
150,12/11/2012,12,11,2012
151,25/2/2016,25,2,2016
152,2/5/2011,2,5,2011
153,17/9/2016,17,9,2016
154,27/9/2010,27,9,2010
155,23/12/2019,23,12,2019
156,5/6/2011,5,6,2011
157,13/5/2018,13,5,2018
158,12/3/2015,12,3,2015
159,13/12/2016,13,12,2016
160,4/11/2016,4,11,2016
161,16/4/2017,16,4,2017
162,5/2/2010,5,2,2010
163,11/6/2016,11,6,2016
164,10/8/2013,10,8,2013
165,19/10/2016,19,10,2016
166,3/1/2018,3,1,2018
167,24/9/2018,24,9,2018
168,12/5/2012,12,5,2012
169,16/2/2018,16,2,2018
170,22/9/2019,22,9,2019
171,8/11/2019,8,11,2019
172,24/3/2013,24,3,2013
173,14/12/2014,14,12,2014
174,3/10/2012,3,10,2012
175,18/10/2017,18,10,2017
176,17/6/2014,17,6,2014
177,27/8/2019,27,8,2019
178,16/8/2011,16,8,2011
179,6/12/2016,6,12,2016
180,9/2/2010,9,2,2010
181,15/2/2016,15,2,2016
182,9/9/2014,9,9,2014
183,11/2/2016,11,2,2016
184,19/5/2012,19,5,2012
185,14/9/2017,14,9,2017
186,1/11/2018,1,11,2018
187,16/7/2019,16,7,2019
188,12/3/2018,12,3,2018
189,10/5/2019,10,5,2019
190,8/6/2014,8,6,2014
191,12/6/2014,12,6,2014
192,11/9/2018,11,9,2018
193,15/9/2019,15,9,2019
194,9/1/2019,9,1,2019
195,23/7/2019,23,7,2019
196,16/7/2015,16,7,2015
197,4/10/2019,4,10,2019
198,19/10/2010,19,10,2010
199,11/6/2017,11,6,2017
200,6/6/2014,6,6,2014
201,2/5/2019,2,5,2019
202,15/3/2012,15,3,2012
203,26/7/2016,26,7,2016
204,2/1/2013,2,1,2013
205,8/5/2016,8,5,2016
206,1/4/2011,1,4,2011
207,16/12/2018,16,12,2018
208,9/8/2011,9,8,2011
209,20/5/2018,20,5,2018
210,15/8/2017,15,8,2017
211,7/2/2019,7,2,2019
212,17/4/2015,17,4,2015
213,27/9/2019,27,9,2019
214,21/4/2017,21,4,2017
215,2/9/2018,2,9,2018
216,3/11/2012,3,11,2012
217,10/8/2017,10,8,2017
218,1/7/2010,1,7,2010
219,10/12/2013,10,12,2013
220,14/8/2010,14,8,2010
221,17/8/2015,17,8,2015
222,1/3/2012,1,3,2012
223,18/6/2017,18,6,2017
224,18/9/2010,18,9,2010
225,22/10/2010,22,10,2010
226,2/3/2013,2,3,2013
227,15/4/2014,15,4,2014
228,6/7/2019,6,7,2019
229,4/9/2019,4,9,2019
230,1/2/2017,1,2,2017
231,10/11/2018,10,11,2018
232,16/10/2018,16,10,2018
233,18/9/2019,18,9,2019
234,14/5/2014,14,5,2014
235,24/4/2016,24,4,2016
236,19/10/2016,19,10,2016
237,19/10/2017,19,10,2017
238,19/11/2013,19,11,2013
239,2/12/2018,2,12,2018
240,11/1/2015,11,1,2015
241,27/1/2018,27,1,2018
242,24/3/2018,24,3,2018
243,15/3/2019,15,3,2019
244,7/6/2017,7,6,2017
245,25/5/2019,25,5,2019
246,13/1/2014,13,1,2014
247,26/2/2016,26,2,2016
248,15/8/2019,15,8,2019
249,18/12/2019,18,12,2019
250,13/3/2016,13,3,2016
251,2/5/2017,2,5,2017
252,20/4/2016,20,4,2016
253,5/8/2016,5,8,2016
254,9/11/2016,9,11,2016
255,9/11/2018,9,11,2018
256,5/5/2014,5,5,2014
257,21/11/2015,21,11,2015
258,7/7/2016,7,7,2016
259,2/8/2017,2,8,2017
260,8/7/2015,8,7,2015
261,21/10/2015,21,10,2015
262,22/11/2014,22,11,2014
263,22/3/2016,22,3,2016
264,21/11/2016,21,11,2016
265,15/6/2018,15,6,2018
266,15/9/2017,15,9,2017
267,9/10/2019,9,10,2019
268,27/1/2012,27,1,2012
269,2/4/2014,2,4,2014
270,26/11/2010,26,11,2010
271,15/5/2013,15,5,2013
272,14/3/2016,14,3,2016
273,6/9/2016,6,9,2016
274,6/5/2014,6,5,2014
275,12/2/2017,12,2,2017
276,3/7/2011,3,7,2011
277,26/9/2016,26,9,2016
278,26/8/2015,26,8,2015
279,6/1/2016,6,1,2016
280,19/9/2011,19,9,2011
281,23/8/2019,23,8,2019
282,7/9/2018,7,9,2018
283,23/3/2019,23,3,2019
284,18/11/2013,18,11,2013
285,2/8/2014,2,8,2014
286,11/7/2015,11,7,2015
287,7/4/2017,7,4,2017
288,7/7/2010,7,7,2010
289,5/6/2011,5,6,2011
290,21/7/2014,21,7,2014
291,13/12/2015,13,12,2015
292,21/7/2018,21,7,2018
293,11/4/2019,11,4,2019
294,19/8/2013,19,8,2013
295,9/7/2018,9,7,2018
296,5/1/2012,5,1,2012
297,8/10/2017,8,10,2017
298,7/10/2016,7,10,2016
299,22/11/2019,22,11,2019
300,21/10/2017,21,10,2017
301,22/10/2017,22,10,2017
302,16/1/2019,16,1,2019
303,25/5/2019,25,5,2019
304,8/6/2014,8,6,2014
305,8/7/2014,8,7,2014
306,8/2/2015,8,2,2015
307,16/8/2019,16,8,2019
308,17/1/2015,17,1,2015
309,27/7/2018,27,7,2018
310,12/11/2017,12,11,2017
311,17/10/2019,17,10,2019
312,20/1/2013,20,1,2013
313,2/12/2017,2,12,2017
314,11/3/2016,11,3,2016
315,27/3/2016,27,3,2016
316,12/6/2014,12,6,2014
317,18/5/2017,18,5,2017
318,1/1/2018,1,1,2018
319,4/8/2018,4,8,2018
320,10/2/2015,10,2,2015
321,10/11/2017,10,11,2017
322,11/8/2019,11,8,2019
323,3/12/2019,3,12,2019
324,12/8/2016,12,8,2016
325,9/1/2019,9,1,2019
326,18/8/2018,18,8,2018
327,26/6/2019,26,6,2019
328,4/7/2017,4,7,2017
329,14/11/2018,14,11,2018
330,24/8/2014,24,8,2014
331,11/10/2015,11,10,2015
332,19/10/2018,19,10,2018
333,6/3/2019,6,3,2019
334,5/8/2013,5,8,2013
335,6/6/2018,6,6,2018
336,1/2/2014,1,2,2014
337,17/7/2016,17,7,2016
338,4/10/2010,4,10,2010
339,6/6/2016,6,6,2016
340,11/11/2015,11,11,2015
341,25/6/2019,25,6,2019
342,8/1/2012,8,1,2012
343,24/5/2019,24,5,2019
344,8/1/2014,8,1,2014
345,27/8/2018,27,8,2018
346,5/1/2010,5,1,2010
347,8/11/2017,8,11,2017
348,4/4/2014,4,4,2014
349,24/3/2016,24,3,2016
350,26/2/2017,26,2,2017
351,23/12/2018,23,12,2018
352,27/4/2013,27,4,2013
353,7/5/2013,7,5,2013
354,11/9/2014,11,9,2014
355,13/10/2015,13,10,2015
356,3/1/2014,3,1,2014
357,19/1/2016,19,1,2016
358,5/4/2010,5,4,2010
359,1/3/2019,1,3,2019
360,4/10/2016,4,10,2016
361,3/10/2017,3,10,2017
362,25/11/2014,25,11,2014
363,8/1/2018,8,1,2018
364,26/11/2010,26,11,2010
365,26/4/2012,26,4,2012
366,15/11/2017,15,11,2017
367,15/10/2018,15,10,2018
368,17/4/2019,17,4,2019
369,26/9/2019,26,9,2019
370,5/1/2010,5,1,2010
371,14/9/2014,14,9,2014
372,9/8/2015,9,8,2015
373,16/3/2017,16,3,2017
374,25/9/2017,25,9,2017
375,2/11/2019,2,11,2019
376,18/1/2012,18,1,2012
377,11/2/2014,11,2,2014
378,19/11/2017,19,11,2017
379,1/10/2018,1,10,2018
380,4/4/2014,4,4,2014
381,5/3/2015,5,3,2015
382,3/1/2018,3,1,2018
383,5/8/2018,5,8,2018
384,18/10/2018,18,10,2018
385,4/9/2019,4,9,2019
386,15/11/2012,15,11,2012
387,23/4/2017,23,4,2017
388,12/2/2019,12,2,2019
389,26/11/2019,26,11,2019
390,6/7/2010,6,7,2010
391,8/1/2016,8,1,2016
392,19/3/2019,19,3,2019
393,17/6/2019,17,6,2019
394,3/6/2017,3,6,2017
395,16/6/2019,16,6,2019
396,27/6/2018,27,6,2018
397,5/5/2019,5,5,2019
398,3/6/2012,3,6,2012
399,2/3/2014,2,3,2014
400,11/7/2012,11,7,2012
401,27/9/2012,27,9,2012
402,14/2/2013,14,2,2013
403,6/6/2016,6,6,2016
404,20/2/2010,20,2,2010
405,26/7/2016,26,7,2016
406,8/10/2011,8,10,2011
407,19/6/2015,19,6,2015
408,15/5/2017,15,5,2017
409,22/6/2019,22,6,2019
410,15/4/2019,15,4,2019
411,2/12/2019,2,12,2019
412,11/7/2019,11,7,2019
413,2/10/2019,2,10,2019
414,12/2/2012,12,2,2012
415,4/3/2019,4,3,2019
416,8/1/2016,8,1,2016
417,18/11/2016,18,11,2016
418,17/9/2017,17,9,2017
419,26/9/2017,26,9,2017
420,9/3/2019,9,3,2019
421,1/7/2019,1,7,2019
422,25/4/2015,25,4,2015
423,12/6/2019,12,6,2019
424,3/7/2012,3,7,2012
425,23/10/2018,23,10,2018
426,4/2/2018,4,2,2018
427,4/8/2019,4,8,2019
428,15/2/2018,15,2,2018
429,25/6/2019,25,6,2019
430,17/7/2012,17,7,2012
431,3/5/2016,3,5,2016
432,12/6/2018,12,6,2018
433,13/1/2019,13,1,2019
434,3/4/2010,3,4,2010
435,20/12/2017,20,12,2017
436,5/7/2018,5,7,2018
437,13/2/2019,13,2,2019
438,11/8/2015,11,8,2015
439,19/11/2017,19,11,2017
440,6/8/2014,6,8,2014
441,23/5/2015,23,5,2015
442,4/1/2014,4,1,2014
443,9/12/2016,9,12,2016
444,14/6/2016,14,6,2016
445,7/10/2019,7,10,2019
446,4/6/2010,4,6,2010
447,23/3/2018,23,3,2018
448,10/11/2018,10,11,2018
449,6/2/2019,6,2,2019
450,11/8/2019,11,8,2019
451,12/9/2019,12,9,2019
452,16/6/2017,16,6,2017
453,16/7/2017,16,7,2017
454,3/11/2011,3,11,2011
455,3/11/2014,3,11,2014
456,20/10/2014,20,10,2014
457,12/3/2018,12,3,2018
458,21/8/2017,21,8,2017
459,2/8/2018,2,8,2018
460,4/6/2014,4,6,2014
461,3/4/2015,3,4,2015
462,27/7/2015,27,7,2015
463,23/11/2016,23,11,2016
464,13/5/2018,13,5,2018
465,19/7/2018,19,7,2018
466,10/4/2014,10,4,2014
467,27/10/2018,27,10,2018
468,13/2/2011,13,2,2011
469,25/9/2011,25,9,2011
470,7/6/2016,7,6,2016
471,11/11/2016,11,11,2016
472,22/11/2014,22,11,2014
473,17/2/2018,17,2,2018
474,23/2/2017,23,2,2017
475,2/8/2018,2,8,2018
476,8/4/2010,8,4,2010
477,2/12/2015,2,12,2015
478,25/10/2019,25,10,2019
479,7/11/2019,7,11,2019
480,13/5/2019,13,5,2019
481,26/8/2019,26,8,2019
482,8/10/2019,8,10,2019
483,3/12/2019,3,12,2019
484,10/4/2016,10,4,2016
485,26/9/2016,26,9,2016
486,24/4/2016,24,4,2016
487,25/5/2016,25,5,2016
488,1/4/2012,1,4,2012
489,1/1/2018,1,1,2018
490,3/6/2016,3,6,2016
491,4/6/2017,4,6,2017
492,5/2/2010,5,2,2010
493,20/6/2011,20,6,2011
494,7/1/2019,7,1,2019
495,15/10/2019,15,10,2019
496,1/9/2017,1,9,2017
497,23/8/2019,23,8,2019
498,16/10/2017,16,10,2017
499,11/1/2018,11,1,2018
500,27/10/2010,27,10,2010
501,11/6/2015,11,6,2015
502,7/6/2018,7,6,2018
503,12/12/2019,12,12,2019
504,14/5/2012,14,5,2012
505,25/9/2014,25,9,2014
506,17/1/2015,17,1,2015
507,27/7/2015,27,7,2015
508,13/4/2010,13,4,2010
509,12/4/2017,12,4,2017
510,7/11/2016,7,11,2016
511,24/5/2019,24,5,2019
512,9/11/2019,9,11,2019
513,14/12/2019,14,12,2019
514,12/4/2018,12,4,2018
515,5/8/2019,5,8,2019
516,14/5/2014,14,5,2014
517,25/5/2014,25,5,2014
518,15/3/2019,15,3,2019
519,25/9/2019,25,9,2019
520,5/7/2019,5,7,2019
521,13/7/2019,13,7,2019
522,26/11/2019,26,11,2019
523,24/12/2019,24,12,2019
524,15/10/2016,15,10,2016
525,26/4/2018,26,4,2018
526,8/1/2014,8,1,2014
527,4/11/2015,4,11,2015
528,15/5/2018,15,5,2018
529,25/8/2018,25,8,2018
530,27/3/2011,27,3,2011
531,6/11/2011,6,11,2011
532,16/6/2019,16,6,2019
533,6/8/2019,6,8,2019
534,16/4/2017,16,4,2017
535,19/11/2017,19,11,2017
536,12/10/2018,12,10,2018
537,24/10/2019,24,10,2019
538,20/1/2016,20,1,2016
539,24/11/2018,24,11,2018
540,20/6/2013,20,6,2013
541,10/6/2014,10,6,2014
542,5/11/2012,5,11,2012
543,2/6/2017,2,6,2017
544,18/10/2016,18,10,2016
545,1/3/2019,1,3,2019
546,9/6/2015,9,6,2015
547,17/6/2017,17,6,2017
548,13/9/2013,13,9,2013
549,24/5/2015,24,5,2015
550,22/9/2014,22,9,2014
551,22/9/2017,22,9,2017
552,12/3/2014,12,3,2014
553,8/6/2019,8,6,2019
554,6/10/2016,6,10,2016
555,3/5/2018,3,5,2018
556,8/5/2010,8,5,2010
557,19/11/2016,19,11,2016
558,21/11/2018,21,11,2018
559,19/4/2019,19,4,2019
560,25/1/2018,25,1,2018
561,3/5/2019,3,5,2019
562,4/2/2014,4,2,2014
563,26/11/2015,26,11,2015
564,16/9/2014,16,9,2014
565,1/9/2015,1,9,2015
566,2/9/2019,2,9,2019
567,1/11/2019,1,11,2019
568,8/8/2015,8,8,2015
569,16/11/2018,16,11,2018
570,12/7/2016,12,7,2016
571,18/9/2017,18,9,2017
572,3/3/2012,3,3,2012
573,17/8/2012,17,8,2012
574,19/6/2014,19,6,2014
575,12/7/2019,12,7,2019
576,17/5/2019,17,5,2019
577,17/7/2019,17,7,2019
578,22/1/2019,22,1,2019
579,5/9/2019,5,9,2019
580,24/3/2018,24,3,2018
581,17/4/2019,17,4,2019
582,6/7/2010,6,7,2010
583,17/2/2016,17,2,2016
584,21/11/2010,21,11,2010
585,13/7/2017,13,7,2017
586,12/6/2016,12,6,2016
587,13/6/2016,13,6,2016
588,24/9/2019,24,9,2019
589,23/10/2019,23,10,2019
590,11/2/2014,11,2,2014
591,13/5/2016,13,5,2016
592,6/11/2014,6,11,2014
593,16/7/2017,16,7,2017
594,24/7/2019,24,7,2019
595,25/12/2019,25,12,2019
596,22/8/2011,22,8,2011
597,9/8/2017,9,8,2017
598,16/1/2017,16,1,2017
599,14/12/2019,14,12,2019
600,24/4/2012,24,4,2012
601,21/2/2018,21,2,2018
602,15/8/2018,15,8,2018
603,26/9/2018,26,9,2018
604,27/8/2012,27,8,2012
605,10/8/2015,10,8,2015
606,1/4/2018,1,4,2018
607,9/12/2018,9,12,2018
608,25/6/2015,25,6,2015
609,2/8/2018,2,8,2018
610,11/3/2012,11,3,2012
611,4/3/2019,4,3,2019
612,20/10/2011,20,10,2011
613,15/7/2016,15,7,2016
614,17/4/2018,17,4,2018
615,16/3/2019,16,3,2019
616,2/6/2016,2,6,2016
617,11/1/2017,11,1,2017
618,6/9/2019,6,9,2019
619,23/10/2019,23,10,2019
620,23/5/2018,23,5,2018
621,25/7/2019,25,7,2019
622,24/8/2011,24,8,2011
623,23/1/2017,23,1,2017
624,18/5/2014,18,5,2014
625,2/9/2014,2,9,2014
626,2/10/2012,2,10,2012
627,23/9/2019,23,9,2019
628,1/10/2010,1,10,2010
629,23/12/2016,23,12,2016
630,21/5/2013,21,5,2013
631,7/5/2019,7,5,2019
632,20/7/2010,20,7,2010
633,10/8/2011,10,8,2011
634,15/2/2019,15,2,2019
635,24/9/2019,24,9,2019
636,23/5/2018,23,5,2018
637,27/6/2019,27,6,2019
638,3/11/2011,3,11,2011
639,8/1/2013,8,1,2013
640,23/2/2012,23,2,2012
641,4/7/2019,4,7,2019
642,14/5/2011,14,5,2011
643,22/6/2013,22,6,2013
644,24/8/2016,24,8,2016
645,5/2/2018,5,2,2018
646,18/8/2013,18,8,2013
647,23/6/2014,23,6,2014
648,20/10/2018,20,10,2018
649,4/2/2019,4,2,2019
650,10/9/2016,10,9,2016
651,20/5/2018,20,5,2018
652,21/11/2010,21,11,2010
653,10/10/2013,10,10,2013
654,27/3/2016,27,3,2016
655,6/9/2016,6,9,2016
656,9/8/2013,9,8,2013
657,10/11/2019,10,11,2019
658,23/10/2013,23,10,2013
659,7/10/2015,7,10,2015
660,15/5/2012,15,5,2012
661,16/10/2018,16,10,2018
662,23/4/2019,23,4,2019
663,17/12/2019,17,12,2019
664,17/3/2013,17,3,2013
665,25/7/2016,25,7,2016
666,26/8/2019,26,8,2019
667,14/11/2019,14,11,2019
668,7/7/2013,7,7,2013
669,21/10/2013,21,10,2013
670,18/7/2016,18,7,2016
671,9/2/2019,9,2,2019
672,3/4/2019,3,4,2019
673,9/5/2019,9,5,2019
674,14/8/2019,14,8,2019
675,16/11/2019,16,11,2019
676,27/1/2014,27,1,2014
677,21/1/2015,21,1,2015
678,26/11/2014,26,11,2014
679,25/12/2017,25,12,2017
680,3/1/2010,3,1,2010
681,17/3/2010,17,3,2010
682,2/7/2010,2,7,2010
683,7/8/2017,7,8,2017
684,25/6/2016,25,6,2016
685,23/11/2016,23,11,2016
686,7/5/2012,7,5,2012
687,26/4/2014,26,4,2014
688,4/8/2014,4,8,2014
689,17/9/2019,17,9,2019
690,8/8/2013,8,8,2013
691,11/11/2017,11,11,2017
692,26/9/2018,26,9,2018
693,16/3/2019,16,3,2019
694,15/6/2012,15,6,2012
695,14/8/2016,14,8,2016
696,2/9/2011,2,9,2011
697,16/8/2012,16,8,2012
698,9/2/2019,9,2,2019
699,24/11/2019,24,11,2019
700,21/7/2012,21,7,2012
701,10/9/2014,10,9,2014
702,12/5/2014,12,5,2014
703,17/2/2016,17,2,2016
704,5/6/2019,5,6,2019
705,23/6/2019,23,6,2019
706,8/7/2019,8,7,2019
707,27/12/2019,27,12,2019
708,10/7/2013,10,7,2013
709,5/3/2019,5,3,2019
710,16/5/2010,16,5,2010
711,16/9/2012,16,9,2012
712,19/2/2017,19,2,2017
713,22/12/2018,22,12,2018
714,5/8/2016,5,8,2016
715,27/7/2017,27,7,2017
716,13/4/2011,13,4,2011
717,11/4/2018,11,4,2018
718,17/11/2018,17,11,2018
719,14/11/2019,14,11,2019
720,1/2/2015,1,2,2015
721,5/5/2018,5,5,2018
722,26/2/2019,26,2,2019
723,4/5/2019,4,5,2019
724,4/5/2010,4,5,2010
725,18/11/2016,18,11,2016
726,13/6/2013,13,6,2013
727,20/5/2018,20,5,2018
728,1/2/2011,1,2,2011
729,24/7/2012,24,7,2012
730,23/10/2010,23,10,2010
731,12/9/2015,12,9,2015
732,5/1/2015,5,1,2015
733,17/5/2017,17,5,2017
734,6/8/2011,6,8,2011
735,5/5/2013,5,5,2013
736,22/7/2014,22,7,2014
737,14/3/2018,14,3,2018
738,8/3/2014,8,3,2014
739,7/2/2016,7,2,2016
740,14/1/2010,14,1,2010
741,18/3/2017,18,3,2017
742,25/1/2019,25,1,2019
743,14/11/2019,14,11,2019
744,2/5/2019,2,5,2019
745,23/12/2019,23,12,2019
746,16/10/2015,16,10,2015
747,11/4/2016,11,4,2016
748,12/6/2019,12,6,2019
749,17/12/2019,17,12,2019
750,20/6/2017,20,6,2017
751,24/8/2018,24,8,2018
752,3/1/2013,3,1,2013
753,25/2/2018,25,2,2018
754,26/10/2017,26,10,2017
755,2/9/2018,2,9,2018
756,20/3/2012,20,3,2012
757,22/9/2018,22,9,2018
758,8/7/2018,8,7,2018
759,19/4/2019,19,4,2019
760,19/11/2010,19,11,2010
761,10/5/2013,10,5,2013
762,2/8/2016,2,8,2016
763,20/3/2019,20,3,2019
764,22/4/2012,22,4,2012
765,7/6/2013,7,6,2013
766,16/5/2011,16,5,2011
767,12/9/2016,12,9,2016
768,24/2/2019,24,2,2019
769,1/10/2019,1,10,2019
770,16/1/2011,16,1,2011
771,3/11/2012,3,11,2012
772,2/7/2017,2,7,2017
773,4/11/2017,4,11,2017
774,23/9/2011,23,9,2011
775,2/11/2014,2,11,2014
776,22/6/2012,22,6,2012
777,13/10/2015,13,10,2015
778,15/7/2010,15,7,2010
779,1/10/2010,1,10,2010
780,1/2/2013,1,2,2013
781,14/9/2017,14,9,2017
782,5/11/2012,5,11,2012
783,14/9/2015,14,9,2015
784,10/1/2015,10,1,2015
785,16/12/2017,16,12,2017
786,16/9/2014,16,9,2014
787,24/1/2019,24,1,2019
788,19/2/2012,19,2,2012
789,23/6/2016,23,6,2016
790,22/10/2012,22,10,2012
791,18/8/2018,18,8,2018
792,26/4/2010,26,4,2010
793,8/10/2019,8,10,2019
794,9/9/2013,9,9,2013
795,3/11/2015,3,11,2015
796,13/1/2013,13,1,2013
797,17/8/2015,17,8,2015
798,6/5/2014,6,5,2014
799,11/7/2015,11,7,2015
800,3/2/2014,3,2,2014
801,25/9/2017,25,9,2017
802,21/9/2014,21,9,2014
803,23/7/2016,23,7,2016
804,25/3/2012,25,3,2012
805,4/5/2014,4,5,2014
806,7/11/2016,7,11,2016
807,5/12/2018,5,12,2018
808,18/2/2019,18,2,2019
809,24/3/2019,24,3,2019
810,17/1/2019,17,1,2019
811,16/10/2019,16,10,2019
812,18/1/2015,18,1,2015
813,1/1/2018,1,1,2018
814,3/7/2018,3,7,2018
815,25/12/2018,25,12,2018
816,18/7/2013,18,7,2013
817,25/5/2018,25,5,2018
818,19/9/2017,19,9,2017
819,17/12/2017,17,12,2017
820,4/4/2015,4,4,2015
821,3/3/2016,3,3,2016
822,5/8/2011,5,8,2011
823,14/3/2013,14,3,2013
824,27/7/2015,27,7,2015
825,23/6/2019,23,6,2019
826,26/7/2013,26,7,2013
827,18/6/2018,18,6,2018
828,6/8/2017,6,8,2017
829,10/8/2017,10,8,2017
830,9/11/2012,9,11,2012
831,9/2/2014,9,2,2014
832,4/4/2011,4,4,2011
833,2/4/2019,2,4,2019
834,10/2/2010,10,2,2010
835,24/9/2019,24,9,2019
836,17/9/2012,17,9,2012
837,2/12/2012,2,12,2012
838,1/10/2013,1,10,2013
839,6/11/2016,6,11,2016
840,10/8/2015,10,8,2015
841,27/1/2018,27,1,2018
842,11/11/2016,11,11,2016
843,27/6/2017,27,6,2017
844,6/11/2012,6,11,2012
845,3/3/2018,3,3,2018
846,20/2/2012,20,2,2012
847,25/5/2014,25,5,2014
848,21/11/2018,21,11,2018
849,27/9/2019,27,9,2019
850,17/8/2018,17,8,2018
851,26/5/2019,26,5,2019
852,12/1/2011,12,1,2011
853,19/1/2019,19,1,2019
854,10/6/2014,10,6,2014
855,1/4/2017,1,4,2017
856,5/5/2014,5,5,2014
857,6/11/2017,6,11,2017
858,5/2/2018,5,2,2018
859,23/9/2018,23,9,2018
860,13/2/2012,13,2,2012
861,25/3/2014,25,3,2014
862,17/4/2010,17,4,2010
863,1/6/2016,1,6,2016
864,21/1/2015,21,1,2015
865,2/12/2018,2,12,2018
866,7/8/2014,7,8,2014
867,10/1/2017,10,1,2017
868,25/2/2012,25,2,2012
869,19/1/2015,19,1,2015
870,27/2/2016,27,2,2016
871,18/12/2016,18,12,2016
872,15/5/2016,15,5,2016
